1473718084, 63
1473718089, 29218
1473718094, 64139
1473718099, 98740
1473718104, 140017
1473718109, 172802
1473718114, 199769
1473718119, 233236
1473718124, 271442
1473718129, 299545
1473718134, 334515
1473718139, 367664
1473718144, 400279
1473718149, 441035
1473718154, 474719
1473718159, 509073
1473718164, 553108
1473718169, 586771
1473718174, 628788
1473718179, 674934
1473718184, 707709
1473718189, 737207
1473718194, 769086
1473718199, 803201
1473718204, 839920
1473718209, 879144
1473718214, 917156
1473718219, 948653
1473718224, 975194
1473718230, 5974
1473718235, 40396
1473718240, 69970
1473718245, 99469
1473718250, 135201
1473718255, 169463
1473718260, 202274
1473718265, 236043
1473718270, 271149
1473718275, 307659
1473718280, 342620
1473718285, 372873
1473718290, 403355
1473718295, 435004
1473718300, 473372
1473718305, 503877
1473718310, 535777
1473718315, 569858
1473718320, 602039
1473718325, 643654
1473718330, 680586
1473718335, 715003
1473718340, 749150
1473718345, 782912
1473718350, 821935
1473718355, 854183
1473718360, 890880
1473718365, 930851
1473718370, 964772
1473718375, 998930
1473718381, 37275
1473718386, 71851
1473718391, 106457
1473718396, 138587
1473718401, 173375
1473718406, 209000
1473718411, 238151
1473718416, 279219
1473718421, 315557
1473718426, 345177
1473718431, 377090
1473718436, 407588
1473718441, 438766
1473718446, 483728
1473718451, 520203
1473718456, 553491
1473718461, 586864
1473718466, 623726
1473718471, 663627
1473718476, 699111
1473718481, 736280
1473718486, 769502
1473718491, 808171
1473718496, 845385
1473718501, 880408
1473718506, 921694
1473718511, 956403
1473718516, 993517
1473718522, 24421
1473718527, 55535
1473718532, 87617
1473718537, 116194
1473718542, 146104
1473718547, 191801
1473718552, 227864
1473718557, 262405
1473718562, 294835
1473718567, 327396
1473718572, 369430
1473718577, 402226
1473718582, 438529
