1473718084, 3740

1473718089, 32295

1473718094, 67658

1473718099, 108017

1473718104, 143590

1473718109, 175198

1473718114, 202622

1473718119, 238517

1473718124, 274319

1473718129, 302723

1473718134, 337253

1473718139, 373349

1473718144, 405631

1473718149, 444485

1473718154, 477933

1473718159, 513953

1473718164, 556557

1473718169, 590168

1473718174, 636252

1473718179, 677908

1473718184, 710990

1473718189, 740183

1473718194, 772069

1473718199, 807770

1473718204, 846697

1473718209, 883922

1473718214, 919614

1473718219, 951687

1473718224, 978359

1473718230, 13362

1473718235, 43209

1473718240, 72809

1473718245, 103054

1473718250, 138559

1473718255, 173341

1473718260, 205398

1473718265, 240777

1473718270, 274109

1473718275, 310421

1473718280, 345605

1473718285, 376424

1473718290, 406485

1473718295, 439916

1473718300, 477968

1473718305, 506790

1473718310, 538535

1473718315, 573731

1473718320, 605324

1473718325, 646485

1473718330, 685525

1473718335, 720795

1473718340, 754004

1473718345, 786039

1473718350, 825712

1473718355, 858430

1473718360, 894142

1473718365, 935680

1473718370, 968083

1473718376, 2220

1473718381, 40861

1473718386, 75555

1473718391, 112513

1473718396, 141618

1473718401, 176218

1473718406, 211816

1473718411, 243296

1473718416, 283038

1473718421, 318770

1473718426, 349083

1473718431, 382136

1473718436, 412311

1473718441, 442096

1473718446, 487669

1473718451, 525982

1473718456, 557001

1473718461, 590251

1473718466, 627173

1473718471, 669893

1473718476, 704066

1473718481, 739496

1473718486, 773053

1473718491, 813661

1473718496, 848594

1473718501, 884487

1473718506, 925014

1473718511, 961173

1473718516, 998591

1473718522, 29072

1473718527, 58953

1473718532, 90452

1473718537, 121362

1473718542, 149169

1473718547, 195191

1473718552, 231179

1473718557, 265867

1473718562, 297848

1473718567, 334785

1473718572, 372836

1473718577, 405435

1473718582, 442000

